city,category,name,address,district,lat,lng,description,website,phone,rating,ratingCount,photoUrls,sourceUrls,features_off_leash_allowed,features_water_bowls,features_dogs_allowed_indoors,activity_type,activity_attrs_entry,activity_attrs_shallow_entry
Berlin,park_offleash_area,Tempelhofer Feld (dog areas),"Tempelhofer Feld, Tempelhofer Damm, 12101 Berlin",Tempelhof-Schöneberg,52.48097,13.41052,Former airport turned park with zoned off-leash areas and long runways for walks; dogs must be leashed in some zones and during bird breeding season.,https://www.tempelhoferfeld.de/,,,,,https://de.wikipedia.org/wiki/Tempelhofer_Feld;https://www.tempelhoferfeld.de/,Zoned,UNKNOWN,UNKNOWN,park,open_field,
Berlin,lake_swim,Grunewaldsee Hundestrand (Dog beach),"Hundeauslaufgebiet Grunewald, 14193 Berlin",Charlottenburg-Wilmersdorf,52.47370,13.26180,Forest lake with very popular dog beach; huge adjacent off-leash area in Grunewald forest.,,,,,,https://en.wikipedia.org/wiki/Grunewaldsee;https://www.visitberlin.de/en/berlin-dog,Always,false,,lake,beach,true
Berlin,trail_hike,Grunewald Forest Trails,"Grunewald, Berlin",Charlottenburg-Wilmersdorf,52.47200,13.26200,Extensive forest network with signed trails; popular with dog walkers. Keep dogs under control and observe posted rules.,,,,,,https://www.visitberlin.de/en/berlin-dog,Zoned,false,,trail,forest,
Berlin,cafe_restaurant_bar,Café am Neuen See,"Lichtensteinallee 2, 10787 Berlin",Tiergarten (Mitte),52.51090,13.33940,Beer garden and restaurant by the lake in Tiergarten; dogs commonly welcomed on terrace.,https://cafeamneuensee.de/,,,,,https://en.wikipedia.org/wiki/Caf%C3%A9_am_Neuen_See;https://www.timeout.com/berlin/restaurants/cafe-am-neuen-see,Never,UNKNOWN,UNKNOWN,,,
Berlin,pet_store_boutique,Fressnapf Berlin-Kreuzberg,"Stresemannstraße 68, 10963 Berlin",Kreuzberg,52.50250,13.37640,"Large chain pet store for food, accessories and supplies.",https://www.fressnapf.de/stores/fressnapf-berlin-kreuzberg/,+49 30 25794006,,,,https://www.fressnapf.de/stores/fressnapf-berlin-kreuzberg/,Never,UNKNOWN,true,,,
Berlin,vet_clinic_hospital,Veterinärmedizinisches Zentrum Berlin – Tierarztpraxis Rödiger (24h),"Scharnweberstr. 136, 13405 Berlin",Reinickendorf,52.56670,13.32360,24/7 small animal hospital with emergency services.,https://www.vetzentrum-berlin.de/,+49 30 4127357,,,,https://www.vetzentrum-berlin.de/sprechzeiten/,Never,true,true,,,
Berlin,dog_walker_trainer,Martin Rütter Hundeschule Berlin (Inh. Sandau),"Kronprinzessinnenweg, 14109 Berlin",Wannsee (Steglitz-Zehlendorf),52.423313,13.1828682,Well-known dog training school offering group and individual sessions.,https://www.martinruetter.com/berlin-inh-sandau/,0175 5005049,,,,https://www.martinruetter.com/berlin-inh-sandau/;https://berlin.kauperts.de/eintrag/Ruetter-Martin-Kronprinzessinnenweg-14109-Berlin,Zoned,,,,,
Barcelona,lake_swim,Platja de Llevant – Àrea per a gossos (Dog Beach),"Platja de Llevant (zona canina), 08019 Barcelona",Sant Martí,41.40950,2.21950,Seasonal dog beach section with fenced area and water access.,https://www.barcelona.cat/infobarcelona/en/tema/environment/there-will-be-a-dog-beach-on-the-llevant-beach-this-summer_1106829.html,,,,,https://www.barcelona.cat/en;https://ajuntament.barcelona.cat/,Always,,,beach,beach,true
Barcelona,park_offleash_area,Parc de la Ciutadella (designated areas),"Passeig de Picasso, 21, 08003 Barcelona",Ciutat Vella,41.38800,2.18600,Historic city park; dogs allowed on-leash; check signage for any off-leash or fenced zones.,,,,,,https://blog.apartmentbarcelona.com/barcelona-with-dogs/,Zoned,,,,,
Barcelona,trail_hike,Carretera de les Aigües (Collserola),"Ctra. de les Aigües, 08035 Barcelona",Horta-Guinardó / Sarrià-Sant Gervasi,41.39000,2.10600,Iconic ridge path in Collserola Natural Park with panoramic city views; dogs must be on leash per park regulations.,https://www.barcelonaturisme.com/wv3/en/page/1237/carretera-de-les-aigues.html,,,,,https://parcnaturalcollserola.cat/en/benefit_biodiversity/;https://visit.santcugat.cat/en/collserola-natural-park/;https://www.barcelonaturisme.com/wv3/en/page/1237/carretera-de-les-aigues.html,Never,,,trail,ridge_trail,
Barcelona,cafe_restaurant_bar,Corgi Café (Gòtic),"Pl. de la Vila de Madrid, 4, 08002 Barcelona",Ciutat Vella,41.38356,2.17354,Dog-themed brunch café; pet-friendly vibe.,https://corgicafe.es/,+34 673 95 85 82,,,,https://corgicafe.es/;https://www.asseeninjapan.com/home/review-corgi-cafe-barcelona,,,true,,,
Barcelona,pet_store_boutique,Kiwoko – Diagonal Mar,"Avinguda Diagonal, 3, 08019 Barcelona (CC Diagonal Mar)",Sant Martí,41.40820,2.21690,Large pet store with accessories and services.,https://tiendas.kiwoko.com/catalunya/barcelona/barcelona/kiwoko-barcelona-diagonal-mar-142,+34 93 292 61 66,,,,https://tiendas.kiwoko.com/catalunya/barcelona/barcelona/kiwoko-barcelona-diagonal-mar-142;https://www.diagonalmarcentre.es/en/stores/kiwoko/,,,true,,,
Barcelona,vet_clinic_hospital,SURvet – Urgencias Veterinarias 24h,"Av. Diagonal, 317, 08009 Barcelona",Eixample,41.39440,2.16620,24/7 emergency veterinary hospital and referral center.,https://urgenciesveterinaries.com/,+34 93 240 71 01,,,,https://urgenciesveterinaries.com/,,,,,,
Barcelona,dog_hotel_boarding,Hotel Caní El Vilà (near Barcelona),"Veïnat de Vilà, s/n, 08460 Sant Esteve de Palautordera (Barcelona)",,41.72840,2.40760,Dog hotel with play areas and a beach‑style pool; 24h surveillance.,https://hotelcanielvila.com/,+34 93 830 91 21,,,,https://hotelcanielvila.com/,,,,,,
Rome,park_offleash_area,Villa Doria Pamphilj – Area Cani,"Via di S. Pancrazio, 10, 00152 Roma RM",Monteverde,41.88730,12.44890,Largest landscaped park in Rome with designated dog areas (‘area cani’).,,,,,,https://www.comune.roma.it/web/it/scheda-servizi.page?contentId=INF54478,,,,,,
Rome,trail_hike,Parco degli Acquedotti,"Via Lemonia, 256, 00174 Roma RM",Appio Claudio,41.85036,12.55748,Scenic archaeological park with broad trails along ancient aqueducts; popular for walking dogs on leash.,,,,,,https://www.atlasobscura.com/places/parco-degli-acquedotti,,,,,,
Rome,lake_swim,DK Dog Sports – Centro acquatico cinofilo (pool),"Via della Magliana, 00148 Roma RM",Magliana,41.82730,12.41760,Canine aquatic center with pool and dog-sport activities; supervised swimming (not a natural lake).,https://www.dkdd.it/,,,,,https://www.dkdd.it/,,,,pool,pool_ramp,true
Rome,cafe_restaurant_bar,Bar Locarno (pet-friendly),"Via della Penna 22, 00186 Roma RM",Centro Storico,41.90770,12.47640,Historic cocktail bar and café; dogs allowed (outdoor seating).,https://hotellocarno.com/en/bar-locarno/,,,,,https://www.tripadvisor.it/Restaurant_Review-g187791-d5421927-Reviews-Bar_Locarno-Rome_Lazio.html,,,UNKNOWN,,,
Rome,dog_hotel_boarding,Family Dog Club (Asilo per cani),"Via dei Quintili 56, 00175 Roma RM",Tuscolano,41.86910,12.55460,Dog daycare and boarding services in Rome (Tuscolana).,https://familydogclub.it/,+39 06 7691 1031,,,,https://familydogclub.it/,,,,,,
Paris,park_offleash_area,Bois de Boulogne (dogs allowed on paths),"Bois de Boulogne, 75016 Paris",16e,48.86600,2.24600,Vast urban woodland; dogs generally allowed on main paths on leash; specific lawns restricted.,,,,,,https://www.paris.fr/pages/chiens-2872,,,,,,
Paris,park_offleash_area,Bois de Vincennes (dogs allowed on paths),"Bois de Vincennes, 75012 Paris",12e,48.82800,2.43700,Large park east of Paris; dogs allowed on paths on leash; check signage for restrictions.,,,,,,https://www.paris.fr/pages/chiens-2872,,,,,,
Paris,cafe_restaurant_bar,Café de Flore,"172 Bd Saint-Germain, 75006 Paris",6e,48.85460,2.33310,Iconic Left Bank café; terrace frequently hosts patrons with dogs (leash and etiquette required).,https://www.cafedeflore.fr/,,,,,https://en.wikipedia.org/wiki/Caf%C3%A9_de_Flore;https://www.bringfido.com/restaurant/11503,,,UNKNOWN,,,
Paris,cafe_restaurant_bar,Angelina Paris (Rivoli),"226 Rue de Rivoli, 75001 Paris",1er,48.86560,2.32750,Historic tea room; terrace sometimes accommodates dogs; check staff guidance.,https://angelina-paris.fr/,,,,,https://en.wikipedia.org/wiki/Angelina_(store),,,UNKNOWN,,,
Paris,pet_store_boutique,Moustaches – Marais (Archives),"32 Rue des Archives, 75004 Paris",4e,48.85940,2.35520,Trendy urban pet boutique for dogs and cats; multiple city locations.,https://www.moustaches.fr/,+33 1 42 71 05 21,,,,https://www.moustaches.fr/les-boutiques,,,true,,,
Paris,vet_clinic_hospital,CHV Frégis (24h Emergency),"9 Rue de Verdun, 94250 Gentilly (Greater Paris)",Val-de-Marne,48.81560,2.34010,24/7 veterinary hospital serving Paris region.,https://www.fregis.com/,+33 1 49 85 83 00,,,,https://www.fregis.com/,,,,,,
Paris,dog_groomer,Nina Dalle – Toilettage Spa,Paris (mobile / multiple locations),,,,Dog grooming spa services in Paris.,https://www.ninadalle.com/,+33 6 24 75 82 99,,,,https://www.ninadalle.com/,,,,,,
Paris,dog_hotel_boarding,Pension du Pont de Sèvres (near Paris),"8 Rue de la Justice, 92310 Sèvres",Hauts-de-Seine,48.82260,2.21250,Family-run dog and cat boarding 5 minutes from Paris.,https://pensiondupontdesevres.fr/,+33 6 61 30 75 66,,,,https://pensiondupontdesevres.fr/,,,,,,
